,text
117,girl worried losing virginity while dressed as cat will give boyfriend wrong idea
118,halloween store in town has purpose for first time in 360 days
119,the verb fondle used for first time since 1728
120,cci inspired by trump campaign realizes they need to just give students tremendous jobs
121,samsung trying out new advertising technique daily safety hazard emails
122,students glad to see parents after five whole days separated
123,day declared officially over after pants taken off
124,god gets a good chuckle from putting yom kippur right after national coming out day
125,midd proud to be first college to accidentally accept a black student
126,arts department emailer really starting to understand how to interest students
127,group of biddies discuss how other friend is a total biddy
128,sga confirmed 10 oclock ross just playing hard to get
129,clubs with no spots encourage people to come to auditions
130,students summer was good
131,orientation was a blast says middview leader to empty room
132,student has 4213 new posts in lost  for sale
133,mom dropping off son somehow finds way to compliment battell
134,bookstore offers fair deal on textbooks
135,it wasnt me still best song ever
136,first student to visit commons office this semester actually just lost in ross basement
137,student nervous in lecture hall until announcement about emergency exits
138,empty beer can on ross ramp reminder of the crazy weekend you didnt have
139,returning students opt to replace last semesters bernie sanders posters with diagrams of how to compost
140,walk to and from gym officially recognized as full exercise routine
141,student unsure if college invoice email is phishing or not
142,proctor staff realizes breakfast for dinner perfect way to recycle 5261 extra tater tots
