,text,label
180,its a slippery slope from dining halls to athletic fields students open up about eating disorders at middlebury,0
181,vermont gas to be zero emission by 2050,0
182,iso show breaks through boundaries,0
183,fall sports wind down,0
184,nocturne embraces the night,0
185,school consolidation movement divides rural vt,0
186,student panelists discuss what should free speech on middleburys campus look like,0
187,local artisan goods shine at middleburys holiday farmers market,0
188,how the new york times taught two campus editors to hope and write better headlines,0
189,discussing campus free speech attorney general implicates middlebury,0
190,patton eliminates bill burger last challenge to the throne,1
191,middlebury college democrats host debate watch party,0
192,college plans to fundraise for growing financial aid,0
193,rethinking the judicial process,0
194,predicting the 2020 election will forecasters repeat mistakes made in 2016,0
195,democracy is messy so are the iowa caucuses,0
196,class action lawsuit against middlebury seeks spring tuition refund,0
197,digital nocturne hailed by studio art majors criticized by parents with newly fingerpainted bathrooms,1
198,nescac votes students and staff strategize voter participation efforts for the 2020 elections,0
199,charles murray once again undoing three years of community healing,0
200,homecoming parade wins tradition contest,0
201,pulitzer winner shaw talks career kanye,0
202,two years after murray college drafts new protest policies,0
203,clover magazine creates space for the fashionable intellectual,0
204,mens lacrosse pulls away against conn college grabs 20 8 victory,0
205,we commit to climate conscious coverage,0
206,womens tennis showcases depth with three wins in connecticut,0
207,vermont state colleges face uncertain futures,0
208,setting things straight,0
209,vermont senate passes three gun control bills,0
210,burlington city council plans to reduce the citys police officers by 30,0
211,student leaders take on an orientation like never before,0
212,letter to the editor 6,0
213,a response to thomas,0
214,letter making space for counter arguments,0
215,keepers of the ice,0
216,behind the counter dining staff face longer hours with fewer hands,0
217,womens basketball loses heartbreaker,0
218,college dean to step down at years end,0
219,the reel critic i am not your negro,0
220,vandermeer chirico get all america honorable mention,0
221,direct your attention ludovico einaudis most intimate concert,0
222,bernie returns to vermont roots after competitive super tuesday,0
223,womens squash competes in csas,0
224,new york times free online access canceled lib to partner with sga to fund next academic year,0
225,students head to iowa for presidental caucuses,0
226,severe weather impedes winter activities,0
227,the librarian is in 14,0
228,reel critic too late to die young,0
229,womens lacrosse captures tight win against cardinals,0
230,mara strich 22 competes for miss vermont as miss otter creek,0
231,appreciation for excellent student journalism,0
232,students crowded into crossroads to watch as nation rebuked trump,0
233,single occupancy restrooms move toward gender free,0
234,midd named top fulbright producer,0
235,open letter to president patton 2,0
236,womens lacrosse upset by colby,0
237,36615,0
238,good for more than just syrup middlebury maple run 2019,0
239,germanys racist wake up call,0
240,ask tre how should i address racism from white peers,0
241,40277,0
242,college chaplain completes third pilgrimage to mecca,0
243,vermonts criminal justice system restorative justice,0
244,samsung trying out new advertising technique daily safety hazard emails,1
245,a chisel against the cement wall of absolute power black studies program brings daphne brooks to talk protest music in inaugural lecture,0
246,35150,0
247,mens squash finds a spot on the podium,0
248,stay home stay safe stricter guidelines reshape colleges plan for staff,0
249,burroughs 83 presides over major affirmative action case,0
250,admin addresses student concerns at open forum,0
251,racial discourse at middlebury,0
252,new music series highlights unheard voices,0
253,vilification from the protesters,0
254,reel critic 1917,0
255,we endorse the mandatory credit no credit system,0
256,for the record 2012 2017 by against all logic,0
257,planned parenthood of northern n e continues to subsidize health care after federal cuts,0
258,womens golf ends season at williams as the men get ready for nescacs,0
259,mens soccer loses key nescac matchup,0
260,womens lacrosse dominates hamilton from the outset will host nescac semifinals,0
261,students talk inclusivity environment at symposium,0
262,otter creek bakery maintains essence among changing leadership,0
263,main street and merchants row to reopen this week as construction concludes,0
264,vt supreme court sawyer cannot be held without bail,0
265,middlebury foods bags up last bites,0
266,middlebury dishes up for restaurant week,0
267,re structured disability resource center expands is scope,0
268,on getting lost in it all,0
269,the librarian is in 100 times,0
270,mens lacrosse cooks the chickens defeats trinity,0
271,hope works sees mass resignation,0
272,what happens now that were all in long distance friendships,0
273,trustees to match any college donation with 100 through the end of june,0
274,cocoon storytellers share pain and love,0
275,grace kelly charms,0
276,mckibben talks arrest upcoming mass action,0
277,faculty support wrongfully accused student,0
278,students return to middlebury surrounding senior week sparking safety concerns,0
279,football survives late comeback by colby remains atop nescac,0
280,divestment makes us proud,0
281,on the road snapshots from a new england summer,0
282,the librarian is in a brief history of seven killings by marlon james,0
283,indoor track and field ready to kick off season with records in sight,0
284,blockchain technology club established,0
285,meditations on fear reverence and revolt portraits of power,0
286,demonstrators take stand in support of mueller investigation,0
287,middlebury goes mad for march madness,0
288,we need to complicate dialogue about race and class,0
289,40697,0
290,the fate of the american melting pot,0
291,college dean to step down at end of year,0
292,why you should vote right now,0
293,the lookbook leopard print,0
294,volleyballs streak sits at six raffel named player of the week,0
295,six faculty gain tenure,0
296,notes from the desk on a world without sports,0
297,the librarian is in the moment of lift,0
298,college staff brace for summer road closures in town,0
299,georgia carroll 18 leads no womens lacrosse in opening weekend sweep,0
300,tips for room draw,0
301,this is not normal,0
302,students excited to return home and end long distance relationships,1
303,deray on the injustices of today,0
304,throwback thursday this day in 1988 vigsness goal caps off solid weekend,0
305,back on shelves gregs meat market to re open,0
306,the lookbook business casual,0
307,field hockey coasts vs colby,0
308,students weigh pros and cons of returning for spring semester,0
309,single write in vote for fartface mcdickhead edges out hallquist in vt gubernatorial race,1
310,racial justice is impossible without institutional support,0
311,koby altman 04 facebook live interview campus editor james finn interviews cavaliers gm,0
312,external reviewers assess impact of commons system,0
313,evolution dance crew drop their masks,0
314,mens soccer ends week 2 1,0
315,women of troy awakens greek tragedy,0
316,baseball posts first winning spring trip since 2012 2,0
317,community council update 33,0
318,now we are more scared migrant workers and dairy farms feel threat of immigration policy,0
319,with giveaways and midd night strolls town encourages shoppers to stay local,0
320,softball season ends on another walk off,0
321,susan baldridge to step down as provost,0
322,music holocaust portrayal,0
323,notes from the desk the facade of higher education is crumbling,0
324,david provost talks college finances,0
325,siefers scoop episode 9 nate moll 22 mens squash,0
326,right wing media jumps on free speech controversy again,0
327,callanan pushing false narratives,0
328,s o s fest touches emotions on campus,0
329,revisiting speech and inclusion,0
330,daily grind replaces carols in downtown middlebury,0
331,frances vandermeer leaving a wake at all levels of competition,0
332,mens and womens tennis holds own in cambridge,0
333,afterschool in addison northwest district receives 100k for programs,0
334,redefining inclusivity as freedoms,0
335,observations on friendship in fifth planet,0
336,field hockey remains undefeated duh,0
337,fuentes george vies for selectboard seat,0
338,reel critic ash is purest white,0
339,rethinking distribution requirements,0
340,diner to close in june and become theater storage,0
341,winter sports recaps,0
342,finding common ground on economic policy in the era of trump,0
343,judicial hearings begin as faculty challenge process,0
344,siefers scoop episode 6 amandaa frank 23 womens tennis,0
345,womens lax wins in double ot thriller,0
346,atwater dining hall embraces local meat providers,0
347,2019 fall profile shows increases in students of color and from southern states at middlebury,0
348,college parent cofounded national list in support of dr christine blasey ford,0
349,foreign correspondents oxford england through photographs,0
350,rainbow pediatrics stops in person operations due to covid 19 case,0
351,fall flourishes at the middlebury farmers market,0
352,reporter on isis beat discusses speaking to the enemy,0
353,what is the role of this paper,0
354,the librarian is in 13,0
355,acceptance rate sees uptick to 24 amid covid 19 uncertainties,0
356,former aclu president nadine strossen talks free speech,0
357,a peek into the coolest atoms in vermont,0
358,students and counselors navigate challenges of tele mental health care,0
359,giguere goes out with strong round,0
360,the giving fridge buy a plant give a meal,0
361,breathe brings performance to the pool,0
362,from the presidents desk 12,0
363,the lives of live streamers,0
364,siefers scoop podcast episode 2 noah whiting 22 mens cross country and track and field,0
365,reflecting on new england reviews debut podcast,0
366,a plea for international students,0
367,throwback thursday the archive issue,0
368,vermonters show trust in states response support extended social distancing poll shows,0
369,martinez takes first at diii new englands,0
370,college solar farm proposal ignites town wide debate,0
371,votes for women exhibit opens at middlebury college museum of art,0
372,small number of middlebury students petition for partial refund of semester tuition,0
373,the librarian is in 38,0
374,faculty demand answers on executive pay,0
375,performing arts spotlight modigliani string quartet,0
376,gaining tracktion for diii new englands,0
377,leidt posts hat trick in senior night win,0
378,notes from the sga president semester wrap up,0
379,talk canceled after activist awarded nobel prize,0
380,farmers market kicks off spring season,0
381,senior graduates zooma cum laude for unmatched zoom etiquette,1
382,students struggled in the fall there are ways to fix that this spring,0
383,swimming and diving opens with two meets,0
384,students flock to old haunts as phase two loosens restrictions,0
385,havel explores morality and dissidence,0
386,arrival day testing finds one positive case,0
387,field hockey captures third consecutive national championship title,0
388,womens hockey leaves february break untouched,0
389,empty bookstore shelves make room for amazon,0
390,middlebury fall reopening plan limits elevator peeing to only 25 people at a time,1
391,bevco institutes swipe system,1
392,john schurer for sga president,0
393,womens hockey sweeps trinity but falls to ranked teams,0
394,weekend of events celebrates dr martin luther kings legacy,0
395,an outsiders take on guns in america,0
396,lil uzi vert to perform stripped down acoustic set at womp,1
397,sga confirmed 10 oclock ross just playing hard to get,1
398,scholars debate need for a green new deal,0
399,i cover the waterfront on tj ja and guns,0
400,complacency is criminal why millennials must vote,0
401,daleelahs,0
402,elle varner illuminates,0
403,ask tre 4,0
404,community council addresses cultural appropriation in dining hall menus,0
405,upset alert mens lax knocks off amherst,0
406,climate action in nordic countries,0
407,student activists lead workshops on organizing protesting,0
408,a students refutation of the opt in pass fail policy,0
409,for the culture on misogyny,0
410,playing with pride softballs season comes to an end,0
411,vermont officials respond to las vegas mass shooting,0
412,shefly launches at stonecutter,0
413,no whey out natl tariffs affect vt dairy industry,0
414,changes to title ix alter reporting and investigation procedures,0
415,track and field shuffles its way to the finish line at cupid challenge,0
416,filling in the gaps on institutional pride and a living wage,0
417,the letter,0
418,students respond to kavanaugh hearing,0
419,small senior houses allotted to rising juniors in superblock process,0
420,everyone eats supports struggling restaurants and food insecure households,0
421,stanger to take additional year of leave at stanford and library of congress,0
422,the launch of our new website,0
423,the librarian is in dear committee members,0
424,meatless in monterey miis to hold vegan graduation ceremony,0
425,charles murray protest talk garner media attention,0
426,marquis theater and surj join in anti racism film series,0
427,notes from the desk why a staff issue,0
428,we need the commons system,0
429,mens soccer hopes for ncaa bid after williams loss,0
430,on mental health and mass shootings,0
431,student has 4213 new posts in lost  for sale,1
432,in defense of the hamilton forum,0
433,an open letter to the political science department,0
434,taco of the town long awaited taqueria opens at stone mill,0
435,e lot student parking eliminated,0
436,tell crisis pregnancy center stop lying to women,0
437,indoor track sweeps on home turf,0
438,spring student symposium,0
439,mens alpine ski champion hig roberts 14 first to come out as gay blazes trail for next generation,0
440,divestment does not threaten financial aid,0
441,still waiting for answers,0
442,new york times gives midd most attention since article when we were top of all the charts,1
443,news in brief 4,0
444,no country for powder hounds warmer temps threaten vermonts ski industry,0
445,workout from home middlebury athletes adjust to training during a pandemic,0
446,the only dating guide youll need this fall semester,0
447,meet the candidates,0
448,community bias response team gets mad at noodle for making them do their job,1
449,eco fascist trustees thrust radical energy plan upon unwilling student body,1
450,student organizations persevere one panther apart,0
451,injuries continue to nag mens tennis after spring trip,0
452,an inside look at middlebury magazine,0
453,new housing software suffers glitch,0
454,middlebury professor akhil rao wins national dissertation award,0
455,faculty member advocates middlebury let go of monterey institute,0
456,no 4 womens lacrosse tops camels st lawrence,0
457,protesters gather in burlington march to police department,0
458,xc readies for nescacs,0
459,vt youth turning to state mental health services in record numbers,0
460,middlebury a cappella new releases,0
461,nocturne,0
462,sex panther fck foreplay,0
463,more women running for office in vermont nation than ever before,0
464,student launches race against racism,0
465,mens golf misses cut at nescac qualifiers womens golf looks ahead to nescacs,0
466,siefers scoop podcast an introduction,0
467,womens basketball records road victory at williams,0
468,abroad changed me,0
469,dear my people its not always about us so listen up,0
470,otter creek bakery for sale owners looking for right buyer,0
471,cassel brings personal approach to colleges instagram feed,0
472,hunger free vermont fights proposed changes to federal food assistance program,0
473,ginsburgs passing a tragedy for the wrong reasons,0
474,chinese feminist fights guerrilla wars,0
475,the librarian is in shrill,0
476,some alumni cling to nostalgia how a protest impacted giving,0
477,track field teams set for nescacs on saturday,0
478,mens basketball takes no prisoners as it extends streak,0
479,mens hockey falls twice extends losing streak to four,0
480,fortnightly feature chipman hill,0
481,pattons timeless convocation speech found carved into podium,1
482,black studies major begins inaugural year,0
483,dil yoga sanctuary opens doors to community,0
484,the cordwainer on park street a peek into the working life of leatherworks owner dan freeman,0
485,larger than partisanship a vermont democrat works with lincoln project republicans to defeat president trump,0
486,vandalism spikes as students prepare to leave campus,0
487,fall coaches adjust to a season without competitive play,0
488,swim dive falls to amherst mammoths,0
489,classes suspended as majority of middlebury students attend canada goose arctic program,1
490,novel by alum discusses sexual assault,0
491,sga debates the future of free speech on campus,0
492,we need your help to report on college mental health services,0
493,notes from the desk this teams hard work was not inevitable,0
494,faculty approve changes to pe credits and add card policies,0
495,vergennes laundry welcomes new chef,0
496,a press for the people,0
497,womens tennis hosts season opener on september 14,0
498,direct your attention dave chappelle isnt joking anymore,0
499,facebook campus is not middleburys friend,0
500,admissions dean to leave at years end,0
501,truth be told,0
502,womens lacrosse continues winning streak defeating mit 20 2,0
503,womens lacrosse upset by bates in overtime,0
504,the agitators a play reading of rebellion and revolution,0
505,martinez and distance medley teams punctuate successful weekend,0
506,cross country continues to stride through their 2018 19 season,0
507,senior theses amid covid 19 theatre majors wont wait in the wings,0
508,neutrality versus activism professors face a conflict of pedagogy in the classroom,0
509,the librarian is in 34,0
510,listen up concert preview tune yards and u s girls at higher ground,0
511,the sun doesnt set on climate justice sunrise middlebury hosts summer study sess,0
512,tennis teams vie for spots at top of national polls,0
513,admissions implements test optional policy under three year trial period,0
514,promoting green new deal environmental groups host eco fair town hall,0
515,college contributes to 2020 census prep,0
516,sex panther get to know yourself,0
517,womens tennis ends season strong,0
518,green mountain adventures opens on main street,0
519,the proposed protest policy and the infantilization of students,0
520,reel critic monos,0
521,letter to the editor college reopening threatens local community,0
522,the librarian is in islandbornby junot diaz illustrated by leo espinosa 2018,0
523,bundle pops up on main street aims to revitalize downtown,0
524,remote professors tinker with course content and build virtual communities,0
525,local business takes hit from mandated closures and quarantined public,0
526,quidditch heads to texas for nationals,0
527,on daca middlebury stands with dreamers,0
528,you should travel less or at least try to be better at it,0
529,middkids combat high prices by launching bookselling website,0
530,1619 project journalist talks black history,0
531,planapalooza stimulates community conversation,0
532,fawn enchants with flowing folk sound,0
533,notes from the desk in support of universal pass d fail,0
534,softball aims at first playoffs appearance in three years,0
535,show murray what we stand for,0
536,foreign correspondents yaounde cameroon,0
537,reel critic bojack horseman,0
538,skip transparency we want clarity,0
539,homoerotic mill basement closed first years boast record low number of queer students,1
540,football goes out on a good note,0
541,sga senate to shrink as commons phase out,0
542,student finds loophole to n2 rule adds more beds to dorm,1
543,college football the american presidency and a century of entanglement,0
544,vt maple syrup production rides out difficult season,0
545,in defense of our hate crime laws,0
546,international diversity as a mindset instead of a number,0
547,reusable foodware on the way,0
548,womens golf revamps team,0
549,from cluttered homes to an uncertain fall survey lays bare students pandemic struggles,0
550,vermont ranks first for health security preparedness,0
551,mens lacrosse showing they are for real,0
552,pennies for womensafe,0
553,last years champs stay hungry,0
554,newsroom influencers crossfit,0
555,letter to the editor 31,0
556,without lebowitz football falls to an undefeated trinity,0
557,siefers scoop episode 4 lizzie kenter 23 womens golf,0
558,softballs weekend success,0
559,on political correctness,0
560,yamiche alcindor recounts a career of asking tough questions,0
561,college transitions to oracle finance system,0
562,diverse islamic art exhibition opens at college,0
563,student environmental organizers find ways to keep active from home,0
564,tennis courts to be demolished,0
565,burlington girls soccer team kicks equal pay into worldwide spotlight,0
566,we need the hebrew department,0
567,fast times and far throws in boston,0
568,returning students opt to replace last semesters bernie sanders posters with diagrams of how to compost,1
569,new student group calls for sensible drug policies,0
570,prospies delighted to discover middleburys sunny temperate climate,1
571,reel critic bunuel in the labyrinth of the turtles,0
572,its a hard time to be a student its a harder time to be a first year,0
573,mens basketball climbs atop nescac,0
574,sga weekly ways to get involved voice your opinions,0
575,baseball endures southern struggles now looks west,0
576,we need to confront civil war falsehoods,0
577,students get dose of eastern wellness practices,0
578,vergennes boys and girls club undergoes major renovations,0
579,middmouth featuring tyler belmont,0
580,twenty two students barred from campus over covid 19 policy violations,0
581,ceramics studio welcomes students to come create,0
582,wanted student spaces,0
583,middlebury dies in darkness,0
584,contractors hired in response to custodial staff shortages,0
585,womens rugby beats nvu with whopping 127 0 score,0
586,champions again field hockey wins fourth national championship,0
587,u s history from portraits to selfies,0
588,former vermont gov jim douglas reflects on gop in 2018,0
589,freeze puts hiring on pause though many positions were already filled,0
590,dear staff from the editorial board,0
591,imperator brings cleopatra to the modern stage,0
592,track teams gear up for diii new englands,0
593,in class students simulate 2020 election,0
594,second riddim show way more impressive than first says heavily intoxicated audience,1
595,keegan callanan joins national council of the humanities,0
596,looking back moving forward,0
597,milk with dignity pushes for leche justa,0
598,skiers look to take on slopes,0
599,destruction of atwater parking lot construction of comsci building begins,0
600,response to moss pushes false narrative yet again,0
601,zombies to genomics faculty get cet creative,0
602,this isnt good enough,0
603,the sew must go on,0
604,sex panther on queer,0
605,news in brief credit no credit professors encouraged to expand coursework flexibility increased indoor space access,0
606,meet the farmers two addison county cattle farmers share their philosophy,0
607,tree behind old chapel is lit,0
608,we demand justice divest shows student power,0
609,the inside scoop on vermont creemees,0
610,performing arts spotlight african music and dance,0
611,online dating in the era of covid 19,0
612,hockey sweeps colby ready for playoffs,0
613,how we move forward after the list,0
614,tour guide walking backwards obliterated by 128 wheeled truck,1
615,little environmentalisms for the not so perfect kids,0
616,boy oh boy where are the boys,0
617,challenging ideas listening across differences,0
618,in low turnout election students vote to reduce size of senate re brand senators representatives,0
619,college disciplines dunn,0
620,mens hockey splits weekend away better puck next weekend,0
621,say no on club sports,0
622,the best two teams met and chaos ensued robs world series facts,0
623,zeitgeist 2019,0
624,students protest grand jury verdict for officers who killed breonna taylor,0
625,faculty narrowly reject the sense of the faculty motion to release miis,0
626,track and field scores at the amherst spring fling,0
627,cembalest and kagan wrap up squash season at individual nationals,0
628,mens soccer remains tied after double ot,0
629,public radio journalist speaks on fake news,0
630,middlebury students lose protest privileges keep others,1
631,homeshare vermont celebrates 35th anniversary,0
632,vegans upset about new food truck in town,1
633,womens hockey starts season with 2 1 1 record,0
634,foreign correspondents ferrara italy,0
635,fam launches website to increase awareness of sexual health services,0
636,softball is walked off twice by williams then walks off hamilton on sunday,0
637,richard sander questioned on research focus on the data,0
638,visiting professor studies mechanisms of cancer,0
639,community council update 35,0
640,ski teams give powerful performance at carnival,0
641,frustrating and demoralizing trans students struggle to have preferred names recognized on middleburys online systems,0
642,education studies double major created,0
643,womens squash stomps nescac foes,0
644,strong character defines mens lacrosse rookie class,0
645,sex panther relationship structure,0
646,cabaret comes to town,0
647,benjy renton 21 garners national recognition for contact tracing the white house,0
648,new york times book critic dwight garner 88 returns to campus wednesday,0
649,the performing arts series is celebrating its 100th anniversary we should be celebrating too,0
650,carolyn finney and woman stands shining explore race and displacement,0
651,the center will hold madeleine kunin reflects on aging and optimism in politics,0
652,college mourns passing of juana gamero de coca,0
653,gsfs professor sujata moorti named dean of faculty,0
654,relationships at middlebury are they built to last,0
655,baseball walks off not once but twice,0
656,mismatch theory creator to speak,0
657,middlebury c v starr school in ferrara italy canceled amid coronavirus concerns,0
658,a pattern of instability 2,0
659,leading mlk scholar lectures on kings legacy,0
660,mens hockey ready to bounce back,0
661,carbon pricing a big move for a small state,0
662,college landscapers continue to work amidst campus shutdown,0
663,approximately 175 students allowed to stay on campus,0
664,doug adams resigns as associate dean of students,0
665,we are in a global crisis with or without covid 19,0
666,empty beer can on ross ramp reminder of the crazy weekend you didnt have,1
667,vermonts budding industry next state to tax regulate cannabis,0
668,staff brace for an uncertain on campus fall semester,0
669,making space for slowness,0
670,bauhaus they were here and they were queer,0
671,im thinking of ending things condescensions pretensions and cutesiness in one,0
672,you are not welcome here mr okeefe,0
673,panther football sends polar bears back into hibernation,0
674,open letter on staff wages,0
675,the college was just about to break even on its budget then everyone got sent home,0
676,president announces four new projects,0
677,college announces food waste program,0
678,womens soccer gets at large bid,0
679,i cover the waterfront on original reporting,0
680,explain simply dont simply explain,0
681,track and field tackles two meets over the weekend,0
682,comic relief through satirical news,0
683,the librarian is in 41,0
684,admissions scandal finally explains  lacrosse teams abysmal performance,1
685,in annual sleep out locals experience frigid reality of homelessness,0
686,womens soccer opens conference with tough loss to camels,0
687,mens squash finishes season with a bang by beating williams and bates,0
688,middleburys athletic records that never were,0
689,reporting on 15 elections how time flies,0
690,its no fantasy college football is back,0
691,bridge and rail project construction to continue through fall,0
692,coming together,0
693,eric masinter middlebury junior from colorado dies,0
694,open letter to president patton,0
695,on charles murray at middlebury,0
696,more students should be on the board of trustees,0
697,sports recap september 26 2019,0
698,college installs eighteen security cameras at mccullough bicentennial hall,0
